"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","reseaupro.unpidf.fr/193.51.86.242","443","INFO","HTTP","",""
"pre_128cipher","reseaupro.unpidf.fr/193.51.86.242","443","INFO","No 128 cipher limit bug","",""
"SSLv2","reseaupro.unpidf.fr/193.51.86.242","443","OK","not offered","",""
"SSLv3","reseaupro.unpidf.fr/193.51.86.242","443","HIGH","offered","",""
"TLS1","reseaupro.unpidf.fr/193.51.86.242","443","LOW","offered (deprecated)","",""
"TLS1_1","reseaupro.unpidf.fr/193.51.86.242","443","LOW","offered (deprecated)","",""
"TLS1_2","reseaupro.unpidf.fr/193.51.86.242","443","OK","offered","",""
"TLS1_3","reseaupro.unpidf.fr/193.51.86.242","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","reseaupro.unpidf.fr/193.51.86.242","443","INFO","not offered","",""
"cipherlist_NULL","reseaupro.unpidf.fr/193.51.86.242","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","reseaupro.unpidf.fr/193.51.86.242","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","reseaupro.unpidf.fr/193.51.86.242","443","OK","not offered","","CWE-327"
"cipherlist_LOW","reseaupro.unpidf.fr/193.51.86.242","443","HIGH","offered","","CWE-327"
"cipherlist_3DES_IDEA","reseaupro.unpidf.fr/193.51.86.242","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","reseaupro.unpidf.fr/193.51.86.242","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","reseaupro.unpidf.fr/193.51.86.242","443","OK","offered","",""
"cipherlist_STRONG_FS","reseaupro.unpidf.fr/193.51.86.242","443","OK","offered","",""
"cipher_order-ssl3","reseaupro.unpidf.fr/193.51.86.242","443","INFO","NOT a cipher order configured","",""
"cipher-ssl3_xc014","reseaupro.unpidf.fr/193.51.86.242","443","LOW","SSLv3   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-ssl3_x39","reseaupro.unpidf.fr/193.51.86.242","443","LOW","SSLv3   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-ssl3_x88","reseaupro.unpidf.fr/193.51.86.242","443","LOW","SSLv3   x88     DHE-RSA-CAMELLIA256-SHA           DH 2048    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-ssl3_x35","reseaupro.unpidf.fr/193.51.86.242","443","LOW","SSLv3   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-ssl3_x84","reseaupro.unpidf.fr/193.51.86.242","443","LOW","SSLv3   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-ssl3_xc013","reseaupro.unpidf.fr/193.51.86.242","443","LOW","SSLv3   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-ssl3_x33","reseaupro.unpidf.fr/193.51.86.242","443","LOW","SSLv3   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-ssl3_x9a","reseaupro.unpidf.fr/193.51.86.242","443","LOW","SSLv3   x9a     DHE-RSA-SEED-SHA                  DH 2048    SEED        128      TLS_DHE_RSA_WITH_SEED_CBC_SHA","",""
"cipher-ssl3_x45","reseaupro.unpidf.fr/193.51.86.242","443","LOW","SSLv3   x45     DHE-RSA-CAMELLIA128-SHA           DH 2048    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipher-ssl3_x2f","reseaupro.unpidf.fr/193.51.86.242","443","LOW","SSLv3   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
