"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","svn.anakrys.biz/5.135.151.185","443","INFO","HTTP","",""
"pre_128cipher","svn.anakrys.biz/5.135.151.185","443","INFO","No 128 cipher limit bug","",""
"SSLv2","svn.anakrys.biz/5.135.151.185","443","OK","not offered","",""
"SSLv3","svn.anakrys.biz/5.135.151.185","443","OK","not offered","",""
"TLS1","svn.anakrys.biz/5.135.151.185","443","INFO","not offered","",""
"TLS1_1","svn.anakrys.biz/5.135.151.185","443","INFO","not offered","",""
"TLS1_2","svn.anakrys.biz/5.135.151.185","443","OK","offered","",""
"TLS1_3","svn.anakrys.biz/5.135.151.185","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","svn.anakrys.biz/5.135.151.185","443","INFO","not offered","",""
"cipherlist_NULL","svn.anakrys.biz/5.135.151.185","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","svn.anakrys.biz/5.135.151.185","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","svn.anakrys.biz/5.135.151.185","443","OK","not offered","","CWE-327"
"cipherlist_LOW","svn.anakrys.biz/5.135.151.185","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","svn.anakrys.biz/5.135.151.185","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","svn.anakrys.biz/5.135.151.185","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","svn.anakrys.biz/5.135.151.185","443","INFO","not offered","",""
"cipherlist_STRONG","svn.anakrys.biz/5.135.151.185","443","OK","offered","",""
"cipher_order","svn.anakrys.biz/5.135.151.185","443","HIGH","NOT a cipher order configured","",""
"protocol_negotiated","svn.anakrys.biz/5.135.151.185","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","svn.anakrys.biz/5.135.151.185","443","OK","DHE-RSA-AES128-GCM-SHA256, 2048 bit DH  (matching cipher in list missing)","",""
"cipher-tls1_2_xc030","svn.anakrys.biz/5.135.151.185","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","svn.anakrys.biz/5.135.151.185","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","svn.anakrys.biz/5.135.151.185","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","svn.anakrys.biz/5.135.151.185","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","svn.anakrys.biz/5.135.151.185","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS","svn.anakrys.biz/5.135.151.185","443","OK","offered","",""
"FS_ciphers","svn.anakrys.biz/5.135.151.185","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","svn.anakrys.biz/5.135.151.185","443","OK","prime256v1","",""
"TLS_extensions","svn.anakrys.biz/5.135.151.185","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15'","",""
"TLS_session_ticket","svn.anakrys.biz/5.135.151.185","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","svn.anakrys.biz/5.135.151.185","443","INFO","yes","",""
"sessionresumption_ticket","svn.anakrys.biz/5.135.151.185","443","INFO","supported","",""
"sessionresumption_ID","svn.anakrys.biz/5.135.151.185","443","INFO","supported","",""
"TLS_timestamp","svn.anakrys.biz/5.135.151.185","443","INFO","random","",""
"cert_compression","svn.anakrys.biz/5.135.151.185","443","INFO","N/A","",""
"clientAuth","svn.anakrys.biz/5.135.151.185","443","INFO","none","",""
"cert_numbers","svn.anakrys.biz/5.135.151.185","443","INFO","1","",""
"cert_signatureAlgorithm","svn.anakrys.biz/5.135.151.185","443","OK","SHA256 with RSA","",""
"cert_keySize","svn.anakrys.biz/5.135.151.185","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","svn.anakrys.biz/5.135.151.185","443","INFO","Digital Signature, Key Encipherment","",""
