"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","HTTP","",""
"pre_128cipher","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","not offered","",""
"SSLv3","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","not offered","",""
"TLS1","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","not offered","",""
"TLS1_1","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","not offered","",""
"TLS1_2","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","offered","",""
"TLS1_3","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","http/1.1","",""
"cipherlist_NULL","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.univ-gustave-eiffel.fr/193.50.159.150","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","offered","",""
"cipherlist_STRONG","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","offered","",""
"cipher_order","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","server","",""
"protocol_negotiated","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","offered","",""
"FS_ciphers","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","sect283k1 sect283r1 sect409k1 sect409r1 sect571k1 sect571r1 secp256k1 prime256v1 secp384r1 secp521r1 brainpoolP256r1 brainpoolP384r1 brainpoolP512r1","",""
"TLS_extensions","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","yes","",""
"sessionresumption_ticket","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","supported","",""
"sessionresumption_ID","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","supported","",""
"TLS_timestamp","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","random","",""
"cert_compression","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","N/A","",""
"clientAuth","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","none","",""
"cert_numbers","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","1","",""
"cert_signatureAlgorithm","www.univ-gustave-eiffel.fr/193.50.159.150","443","OK","SHA384 with RSA","",""
"cert_keySize","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","7350ECDD8790098D701493806E77FF59","",""
"cert_serialNumberLen","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","16","",""
"cert_fingerprintSHA1","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","230814DAB3DBA09859C8C01AC7991F8A1ED0A133","",""
"cert_fingerprintSHA256","www.univ-gustave-eiffel.fr/193.50.159.150","443","INFO","F1EE02554766811FE2FE2A4C297C2BA712BD4847BC38536D20753F8C700867B1","",""
