"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ent.univ-paris13.fr/81.194.43.200","443","INFO","HTTP","",""
"pre_128cipher","ent.univ-paris13.fr/81.194.43.200","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ent.univ-paris13.fr/81.194.43.200","443","OK","not offered","",""
"SSLv3","ent.univ-paris13.fr/81.194.43.200","443","OK","not offered","",""
"TLS1","ent.univ-paris13.fr/81.194.43.200","443","LOW","offered (deprecated)","",""
"TLS1_1","ent.univ-paris13.fr/81.194.43.200","443","LOW","offered (deprecated)","",""
"TLS1_2","ent.univ-paris13.fr/81.194.43.200","443","OK","offered","",""
"TLS1_3","ent.univ-paris13.fr/81.194.43.200","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","ent.univ-paris13.fr/81.194.43.200","443","INFO","not offered","",""
"cipherlist_NULL","ent.univ-paris13.fr/81.194.43.200","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ent.univ-paris13.fr/81.194.43.200","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ent.univ-paris13.fr/81.194.43.200","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ent.univ-paris13.fr/81.194.43.200","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ent.univ-paris13.fr/81.194.43.200","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","ent.univ-paris13.fr/81.194.43.200","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","ent.univ-paris13.fr/81.194.43.200","443","OK","offered","",""
"cipherlist_STRONG","ent.univ-paris13.fr/81.194.43.200","443","OK","offered","",""
"cipher_order","ent.univ-paris13.fr/81.194.43.200","443","OK","server","",""
"protocol_negotiated","ent.univ-paris13.fr/81.194.43.200","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","ent.univ-paris13.fr/81.194.43.200","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1","ent.univ-paris13.fr/81.194.43.200","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","ent.univ-paris13.fr/81.194.43.200","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","ent.univ-paris13.fr/81.194.43.200","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","ent.univ-paris13.fr/81.194.43.200","443","OK","offered","",""
"FS_ciphers","ent.univ-paris13.fr/81.194.43.200","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","ent.univ-paris13.fr/81.194.43.200","443","OK","prime256v1","",""
"TLS_extensions","ent.univ-paris13.fr/81.194.43.200","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'heartbeat/#15'","",""
"TLS_session_ticket","ent.univ-paris13.fr/81.194.43.200","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ent.univ-paris13.fr/81.194.43.200","443","INFO","yes","",""
"sessionresumption_ticket","ent.univ-paris13.fr/81.194.43.200","443","INFO","not supported","",""
"sessionresumption_ID","ent.univ-paris13.fr/81.194.43.200","443","INFO","supported","",""
"TLS_timestamp","ent.univ-paris13.fr/81.194.43.200","443","INFO","random","",""
"cert_compression","ent.univ-paris13.fr/81.194.43.200","443","INFO","N/A","",""
"clientAuth","ent.univ-paris13.fr/81.194.43.200","443","INFO","none","",""
"cert_numbers","ent.univ-paris13.fr/81.194.43.200","443","INFO","1","",""
"cert_signatureAlgorithm","ent.univ-paris13.fr/81.194.43.200","443","OK","SHA256 with RSA","",""
"cert_keySize","ent.univ-paris13.fr/81.194.43.200","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ent.univ-paris13.fr/81.194.43.200","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ent.univ-paris13.fr/81.194.43.200","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","ent.univ-paris13.fr/81.194.43.200","443","INFO","5556B4677E72ECDCC3A7FD90147DFD0F","",""
"cert_serialNumberLen","ent.univ-paris13.fr/81.194.43.200","443","INFO","16","",""
"cert_fingerprintSHA1","ent.univ-paris13.fr/81.194.43.200","443","INFO","0C91E5539A9CA03B97844B90BDDA341666633CA7","",""
"cert_fingerprintSHA256","ent.univ-paris13.fr/81.194.43.200","443","INFO","4FED16BB355A77281C0435FC327915F6E0A665E256F393289A7106648BCF8980","",""
"cert","ent.univ-paris13.fr/81.194.43.200","443","INFO","-----BEGIN CERTIFICATE----- MIIG5TCCBc2gAwIBAgIQVVa0Z35y7NzDp/2QFH39DzANBgkqhkiG9w0BAQsFADCB lTELMAkGA1UEBhMCR0IxGzAZBgNVBAgTEkdyZWF0ZXIgTWFuY2hlc3RlcjEQMA4G A1UEBxMHU2FsZm9yZDEYMBYGA1UEChMPU2VjdGlnbyBMaW1pdGVkMT0wOwYDVQQD EzRTZWN0aWdvIFJTQSBPcmdhbml6YXRpb24gVmFsaWRhdGlvbiBTZWN1cmUgU2Vy dmVyIENBMB4XDTIxMTExMDAwMDAwMFoXDTIyMTExMDIzNTk1OVowbDELMAkGA1UE BhMCRlIxFTATBgNVBAcTDFZpbGxldGFuZXVzZTEqMCgGA1UECgwhVW5pdmVyc2l0 w6kgUGFyaXMgWElJSSBQYXJpcy1Ob3JkMRowGAYDVQQDDBEqLnVuaXYtcGFyaXMx My5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMQxiphiUcq6mWIb bgwpmX+xb+7yB3pw1i22vanMYZ21+N+7tWc81jp/pdhvMJx/hN7bRjpfXtZUSejC Jle7X4cDPOkLNI4+cvv2V9TTZ/y7dtGchy0yDGJwSXltprvP3clpV7IKwDE62U2C MISXiqsP8aTRLv7JkLE1oaGo2smJN/tPxCxRDhZBTu0XrobwVmXUUMNOryV/Ht6f jQNOpQnUgZRMQFfsVJokAkncWQYFIVF2f1ee4gZWo5h/8P6mGBmxgbnj+vu23ytD g5fI+CBF/lLAP8aZj2bkvKeUFOw9iw/t07lHwGzpNlEPyVjuwRQw/OHDAAxKCsk4 zgf0MRUCAwEAAaOCA1cwggNTMB8GA1UdIwQYMBaAFBfZ1iUnZ/kxwklD2TA2RIxs qU/rMB0GA1UdDgQWBBS9o3OBdSi65CyfsiS7Dv7JpJyjODAOBgNVHQ8BAf8EBAMC BaAwDAYDVR0TAQH/BAIwADAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIw SgYDVR0gBEMwQTA1BgwrBgEEAbIxAQIBAwQwJTAjBggrBgEFBQcCARYXaHR0cHM6 Ly9zZWN0aWdvLmNvbS9DUFMwCAYGZ4EMAQICMFoGA1UdHwRTMFEwT6BNoEuGSWh0 dHA6Ly9jcmwuc2VjdGlnby5jb20vU2VjdGlnb1JTQU9yZ2FuaXphdGlvblZhbGlk YXRpb25TZWN1cmVTZXJ2ZXJDQS5jcmwwgYoGCCsGAQUFBwEBBH4wfDBVBggrBgEF BQcwAoZJaHR0cDovL2NydC5zZWN0aWdvLmNvbS9TZWN0aWdvUlNBT3JnYW5pemF0 aW9uVmFsaWRhdGlvblNlY3VyZVNlcnZlckNBLmNydDAjBggrBgEFBQcwAYYXaHR0 cDovL29jc3Auc2VjdGlnby5jb20wHAYDVR0RBBUwE4IRKi51bml2LXBhcmlzMTMu ZnIwggF/BgorBgEEAdZ5AgQCBIIBbwSCAWsBaQB3AEalVet1+pEgMLWiiWn0830R LEF0vv1JuIWr8vxw/m1HAAABfQkLGesAAAQDAEgwRgIhAILmn9FYPXD02tooggYC U1hA6OVThlscLPpyr5oxrrvKAiEAo49LLWcEATGu2DhCYXzfIIcwNPbOKci0SkRe 63GIs4MAdgBByMqx3yJGShDGoToJQodeTjGLGwPr60vHaPCQYpYG9gAAAX0JCxn2 AAAEAwBHMEUCIHHbtj4ay/Yu3ePJ7yb0NxWp1n49AOYF+PpsIYfiQSqQAiEAuVVJ V0xEUKrQ6PEFe1FgKYGXzrydVwWEgwzcOm16RMYAdgApeb7wnjk5IfBWc59jpXfl vld9nGAK+PlNXSZcJV3HhAAAAX0JCxnMAAAEAwBHMEUCIHvc3ub6ITm6Jxh5EQ5N KXtBs8l9bkPjNrLtvNT0jTI9AiEAlqrhaHUIP/5B+dI99UXzHXtl9hQ2u/8Cp2LF GS594UUwDQYJKoZIhvcNAQELBQADggEBAClEKTH6dH0/q6rlA3+4CzIvgCijyF+1 yzmynCo2/+tzsPlIcMhFTDs++Lv3WXNu1Sb4QKW1F69T9YgiuqwsIbyuO2qmB1Eq ukF/Nav3uF6v98Nbvv7lNDWyQpSxGnOkuNRvj90RBRu37t/kr4HXpk5wTVRynbUB AAT0TABFht3Q/r1kTnOIcdvDP7hhpp7ujglENvNzveq13SskpYWUE4jyacFZ9jn8 xSLJS8u/KyR5UKbOG1+Cf9/u1Zkp1Xp+X+RNIAPfrBD9LLp5qt+H6kbR08Oeui0J 0zVJZV3IIzWlmLhs0E4C/CAo///xDl38BC06aPOCd2MmeuBsBtqJdV8= -----END CERTIFICATE-----","",""
"cert_commonName","ent.univ-paris13.fr/81.194.43.200","443","OK","*.univ-paris13.fr","",""
"cert_commonName_wo_SNI","ent.univ-paris13.fr/81.194.43.200","443","INFO","*.univ-paris13.fr","",""
"cert_subjectAltName","ent.univ-paris13.fr/81.194.43.200","443","INFO","*.univ-paris13.fr","",""
"cert_trust","ent.univ-paris13.fr/81.194.43.200","443","OK","Ok via SAN wildcard and CN wildcard (same w/o SNI)","",""
"cert_chain_of_trust","ent.univ-paris13.fr/81.194.43.200","443","OK","passed.","",""
"cert_certificatePolicies_EV","ent.univ-paris13.fr/81.194.43.200","443","INFO","no","",""
"cert_expirationStatus","ent.univ-paris13.fr/81.194.43.200","443","OK","326 >= 60 days","",""
"cert_notBefore","ent.univ-paris13.fr/81.194.43.200","443","INFO","2021-11-10 00:00","",""
"cert_notAfter","ent.univ-paris13.fr/81.194.43.200","443","OK","2022-11-10 23:59","",""
"cert_extlifeSpan","ent.univ-paris13.fr/81.194.43.200","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","ent.univ-paris13.fr/81.194.43.200","443","INFO","not present","",""
"cert_crlDistributionPoints","ent.univ-paris13.fr/81.194.43.200","443","INFO","http://crl.sectigo.com/SectigoRSAOrganizationValidationSecureServerCA.crl","",""
"cert_ocspURL","ent.univ-paris13.fr/81.194.43.200","443","INFO","http://ocsp.sectigo.com","",""
"OCSP_stapling","ent.univ-paris13.fr/81.194.43.200","443","LOW","not offered","",""
"cert_mustStapleExtension","ent.univ-paris13.fr/81.194.43.200","443","INFO","--","",""
"DNS_CAArecord","ent.univ-paris13.fr/81.194.43.200","443","LOW","--","",""
"certificate_transparency","ent.univ-paris13.fr/81.194.43.200","443","OK","yes (certificate extension)","",""
"certs_countServer","ent.univ-paris13.fr/81.194.43.200","443","INFO","3","",""
"certs_list_ordering_problem","ent.univ-paris13.fr/81.194.43.200","443","INFO","no","",""
"cert_caIssuers","ent.univ-paris13.fr/81.194.43.200","443","INFO","Sectigo RSA Organization Validation Secure Server CA (Sectigo Limited from GB)","",""
