"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","parisregion.eu/217.147.193.100","443","INFO","HTTP","",""
"pre_128cipher","parisregion.eu/217.147.193.100","443","INFO","No 128 cipher limit bug","",""
"SSLv2","parisregion.eu/217.147.193.100","443","OK","not offered","",""
"SSLv3","parisregion.eu/217.147.193.100","443","OK","not offered","",""
"TLS1","parisregion.eu/217.147.193.100","443","INFO","not offered","",""
"TLS1_1","parisregion.eu/217.147.193.100","443","INFO","not offered","",""
"TLS1_2","parisregion.eu/217.147.193.100","443","OK","offered","",""
"TLS1_3","parisregion.eu/217.147.193.100","443","OK","offered with final","",""
"ALPN_HTTP2","parisregion.eu/217.147.193.100","443","OK","h2","",""
"ALPN","parisregion.eu/217.147.193.100","443","INFO","http/1.1","",""
"cipherlist_NULL","parisregion.eu/217.147.193.100","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","parisregion.eu/217.147.193.100","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","parisregion.eu/217.147.193.100","443","OK","not offered","","CWE-327"
"cipherlist_LOW","parisregion.eu/217.147.193.100","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","parisregion.eu/217.147.193.100","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","parisregion.eu/217.147.193.100","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","parisregion.eu/217.147.193.100","443","INFO","not offered","",""
"cipherlist_STRONG_FS","parisregion.eu/217.147.193.100","443","OK","offered","",""
"cipher_order-tls1_2","parisregion.eu/217.147.193.100","443","OK","server","",""
"cipherorder_TLSv1_2","parisregion.eu/217.147.193.100","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","parisregion.eu/217.147.193.100","443","OK","server","",""
"FS","parisregion.eu/217.147.193.100","443","OK","offered","",""
"FS_ciphers","parisregion.eu/217.147.193.100","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","parisregion.eu/217.147.193.100","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","parisregion.eu/217.147.193.100","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","parisregion.eu/217.147.193.100","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","parisregion.eu/217.147.193.100","443","INFO","yes","",""
"sessionresumption_ticket","parisregion.eu/217.147.193.100","443","INFO","not supported","",""
"sessionresumption_ID","parisregion.eu/217.147.193.100","443","INFO","supported","",""
"TLS_timestamp","parisregion.eu/217.147.193.100","443","INFO","random","",""
"certificate_compression","parisregion.eu/217.147.193.100","443","INFO","none","",""
"clientAuth","parisregion.eu/217.147.193.100","443","INFO","none","",""
"cert_numbers","parisregion.eu/217.147.193.100","443","INFO","1","",""
"cert_signatureAlgorithm","parisregion.eu/217.147.193.100","443","OK","SHA256 with RSA","",""
"cert_keySize","parisregion.eu/217.147.193.100","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","parisregion.eu/217.147.193.100","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","parisregion.eu/217.147.193.100","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
