"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.visium360-ssl1.fr/94.247.27.36","443","INFO","HTTP","",""
"pre_128cipher","www.visium360-ssl1.fr/94.247.27.36","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.visium360-ssl1.fr/94.247.27.36","443","CRITICAL","vulnerable with 2 ciphers","",""
"SSLv3","www.visium360-ssl1.fr/94.247.27.36","443","HIGH","offered","",""
"TLS1","www.visium360-ssl1.fr/94.247.27.36","443","LOW","offered (deprecated)","",""
"TLS1_1","www.visium360-ssl1.fr/94.247.27.36","443","CRITICAL","TLSv1.1 is not offered, and downgraded to a weaker protocol","",""
"TLS1_2","www.visium360-ssl1.fr/94.247.27.36","443","OK","offered","",""
"TLS1_3","www.visium360-ssl1.fr/94.247.27.36","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.visium360-ssl1.fr/94.247.27.36","443","INFO","not offered","",""
"cipherlist_NULL","www.visium360-ssl1.fr/94.247.27.36","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.visium360-ssl1.fr/94.247.27.36","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.visium360-ssl1.fr/94.247.27.36","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.visium360-ssl1.fr/94.247.27.36","443","HIGH","offered","","CWE-327"
"cipherlist_3DES_IDEA","www.visium360-ssl1.fr/94.247.27.36","443","MEDIUM","offered","","CWE-310"
"cipherlist_AVERAGE","www.visium360-ssl1.fr/94.247.27.36","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.visium360-ssl1.fr/94.247.27.36","443","OK","offered","",""
"cipherlist_STRONG","www.visium360-ssl1.fr/94.247.27.36","443","OK","offered","",""
"cipher_order","www.visium360-ssl1.fr/94.247.27.36","443","OK","server","",""
"protocol_negotiated","www.visium360-ssl1.fr/94.247.27.36","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.visium360-ssl1.fr/94.247.27.36","443","LOW","ECDHE-RSA-AES256-SHA384, 256 bit ECDH (P-256) (cbc)","",""
"cipher-ssl2_x010080","www.visium360-ssl1.fr/94.247.27.36","443","HIGH","SSLv2   x010080 RC4-MD5                           RSA        RC4         128      SSL_CK_RC4_128_WITH_MD5","",""
"cipher-ssl2_x0700c0","www.visium360-ssl1.fr/94.247.27.36","443","HIGH","SSLv2   x0700c0 DES-CBC3-MD5                      RSA        3DES        168      SSL_CK_DES_192_EDE3_CBC_WITH_MD5","",""
"supportedciphers_SSLv2","www.visium360-ssl1.fr/94.247.27.36","443","INFO","RC4-MD5 DES-CBC3-MD5","",""
"cipherorder_SSLv3","www.visium360-ssl1.fr/94.247.27.36","443","INFO","DES-CBC3-SHA","",""
"cipherorder_TLSv1","www.visium360-ssl1.fr/94.247.27.36","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipherorder_TLSv1_2","www.visium360-ssl1.fr/94.247.27.36","443","INFO","ECDHE-RSA-AES256-SHA384","",""
"FS","www.visium360-ssl1.fr/94.247.27.36","443","OK","offered","",""
"FS_ciphers","www.visium360-ssl1.fr/94.247.27.36","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.visium360-ssl1.fr/94.247.27.36","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.visium360-ssl1.fr/94.247.27.36","443","INFO","'status request/#5' 'renegotiation info/#65281' 'extended master secret/#23'","",""
"TLS_session_ticket","www.visium360-ssl1.fr/94.247.27.36","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.visium360-ssl1.fr/94.247.27.36","443","INFO","yes","",""
"sessionresumption_ticket","www.visium360-ssl1.fr/94.247.27.36","443","INFO","not supported","",""
"sessionresumption_ID","www.visium360-ssl1.fr/94.247.27.36","443","INFO","not supported","",""
